epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,511.673,0.78918,0.5613,0.9738,0.61549,0.46154,0.42323,0.13148,1.90663,2.93101,1.93551,0.001604,0.001604,0.001604
102,516.738,0.82868,0.57831,0.96642,0.7397,0.46154,0.45251,0.17584,1.88822,2.15104,1.94457,0.00160004,0.00160004,0.00160004
103,521.759,0.8562,0.61637,1.02269,0.74871,0.45875,0.49676,0.22414,2.01138,1.7596,2.07902,0.00159608,0.00159608,0.00159608
104,526.905,0.77039,0.58798,0.96788,0.59822,0.68751,0.5895,0.25574,1.88657,1.74324,2.03092,0.00159212,0.00159212,0.00159212
105,531.953,0.88325,0.56203,0.97348,0.56187,0.61538,0.51825,0.27645,1.75054,1.89941,1.83663,0.00158816,0.00158816,0.00158816
106,537.111,0.87994,0.58416,0.97279,0.43326,0.46154,0.37408,0.22378,1.87125,2.13253,1.81356,0.0015842,0.0015842,0.0015842
107,542.109,0.79363,0.58847,0.96339,0.34531,0.46154,0.3876,0.20575,1.81059,2.28997,1.8495,0.00158024,0.00158024,0.00158024
108,547.05,0.87017,0.57227,1.02051,0.34719,0.61538,0.32785,0.15906,2.02188,2.0201,2.00063,0.00157628,0.00157628,0.00157628
109,552.022,0.86819,0.60548,0.99992,0.39463,0.69231,0.41663,0.19607,2.10915,2.08932,2.11225,0.00157232,0.00157232,0.00157232
110,557.044,0.85327,0.60391,0.96696,0.56054,0.53846,0.44365,0.19678,2.13575,2.14222,2.1227,0.00156836,0.00156836,0.00156836
111,562.077,0.80283,0.62733,0.9941,0.65544,0.46154,0.38049,0.1895,2.05064,2.43449,2.00789,0.0015644,0.0015644,0.0015644
112,567.117,0.84499,0.6245,0.96732,0.80796,0.46154,0.47089,0.18202,1.97743,2.76817,1.91585,0.00156044,0.00156044,0.00156044
113,572.184,0.81531,0.59406,0.94613,0.82827,0.46154,0.48592,0.17729,2.01495,2.51949,1.94344,0.00155648,0.00155648,0.00155648
114,577.244,0.82176,0.60416,0.98069,0.7314,0.46154,0.47205,0.14338,2.07505,2.16689,2.12398,0.00155252,0.00155252,0.00155252
115,582.208,0.79985,0.57039,0.98601,0.66536,0.46154,0.51238,0.17566,2.05565,1.85208,2.24421,0.00154856,0.00154856,0.00154856
116,587.233,0.7936,0.58046,0.99885,0.42197,0.46154,0.40017,0.16887,2.08368,1.70619,2.19188,0.0015446,0.0015446,0.0015446
117,592.305,0.7989,0.65069,0.92983,0.52381,0.38462,0.33068,0.14045,2.06592,1.62543,2.00529,0.00154064,0.00154064,0.00154064
118,597.367,0.78872,0.53928,0.95895,0.31751,0.60864,0.27978,0.11286,2.14279,1.96566,2.05879,0.00153668,0.00153668,0.00153668
119,602.411,0.81145,0.54726,0.9631,0.3682,0.53846,0.31322,0.09864,2.19063,2.14266,2.05944,0.00153272,0.00153272,0.00153272
120,607.523,0.84476,0.57665,0.96509,0.52058,0.5027,0.41355,0.14659,2.22142,2.86918,2.01076,0.00152876,0.00152876,0.00152876
121,612.599,0.82665,0.55556,0.96715,0.6561,0.46154,0.44599,0.19751,2.08794,2.23027,2.03874,0.0015248,0.0015248,0.0015248
122,617.686,0.71267,0.52703,0.91999,0.69912,0.36012,0.44121,0.2156,2.04249,1.91447,2.18908,0.00152084,0.00152084,0.00152084
123,622.743,0.74192,0.55744,0.95222,0.54874,0.38462,0.47828,0.22843,2.02958,1.7454,2.26262,0.00151688,0.00151688,0.00151688
124,627.882,0.75443,0.59663,0.93346,0.55861,0.61538,0.55652,0.21945,2.15656,1.86827,2.43698,0.00151292,0.00151292,0.00151292
125,632.887,0.784,0.62322,0.96578,0.51671,0.61538,0.4636,0.16908,2.37128,1.78694,2.6219,0.00150896,0.00150896,0.00150896
126,637.919,0.77276,0.58388,0.94727,0.48586,0.53846,0.5037,0.16463,2.40853,1.73918,2.58129,0.001505,0.001505,0.001505
127,642.951,0.75214,0.53987,0.94444,0.56645,0.60377,0.47889,0.17691,2.36699,1.75443,2.45091,0.00150104,0.00150104,0.00150104
128,647.982,0.84974,0.61819,0.94354,0.69549,0.53846,0.58559,0.23113,2.08879,1.71947,2.15754,0.00149708,0.00149708,0.00149708
129,652.961,0.80274,0.52531,0.95243,0.56656,0.61538,0.60048,0.23823,1.95129,1.73429,2.14453,0.00149312,0.00149312,0.00149312
130,657.988,0.79455,0.56394,0.9491,0.57322,0.53846,0.56778,0.21506,2.03918,1.83072,2.35402,0.00148916,0.00148916,0.00148916
131,663.149,0.81169,0.58792,1.005,0.54656,0.76923,0.67022,0.2185,2.02426,1.83485,2.25946,0.0014852,0.0014852,0.0014852
132,668.283,0.86337,0.5703,0.97007,0.73972,0.53846,0.58492,0.23294,2.14465,1.51994,2.32977,0.00148124,0.00148124,0.00148124
133,673.445,0.80303,0.58602,0.97276,0.63574,0.53846,0.51396,0.20117,2.12845,1.5727,2.30989,0.00147728,0.00147728,0.00147728
134,678.433,0.68623,0.53144,0.91525,0.55174,0.76923,0.62808,0.20884,2.01755,1.81969,2.23387,0.00147332,0.00147332,0.00147332
135,683.55,0.70173,0.55591,0.92073,0.58213,0.76923,0.67258,0.21201,2.30294,1.68036,2.58603,0.00146936,0.00146936,0.00146936
136,688.599,0.7311,0.5016,0.9578,0.60903,0.61538,0.55691,0.20121,2.34308,1.82592,2.56298,0.0014654,0.0014654,0.0014654
137,693.563,0.68349,0.51229,0.90258,0.61278,0.60914,0.54062,0.23789,2.16467,2.27259,2.27396,0.00146144,0.00146144,0.00146144
138,698.616,0.83622,0.54618,0.93348,0.78284,0.46154,0.53249,0.2508,2.0252,1.79084,2.15855,0.00145748,0.00145748,0.00145748
139,703.584,0.68799,0.47582,0.92273,0.61341,0.53846,0.60159,0.2949,2.05004,1.62338,2.2187,0.00145352,0.00145352,0.00145352
140,708.6,0.70282,0.50395,0.90395,0.7262,0.61236,0.64819,0.27342,2.17149,1.71238,2.31162,0.00144956,0.00144956,0.00144956
141,713.622,0.69456,0.48638,0.91741,0.8476,0.53846,0.67274,0.27186,2.24521,1.67554,2.41175,0.0014456,0.0014456,0.0014456
142,718.677,0.77571,0.52957,0.94781,0.86113,0.53846,0.67804,0.26183,2.28497,1.66366,2.39347,0.00144164,0.00144164,0.00144164
143,723.717,0.68868,0.45919,0.91682,0.63808,0.69231,0.63875,0.24178,2.26177,1.6731,2.33356,0.00143768,0.00143768,0.00143768
144,728.698,0.63581,0.45438,0.91393,0.57481,0.69231,0.64116,0.23807,2.09001,1.67288,2.14937,0.00143372,0.00143372,0.00143372
145,733.668,0.66819,0.46098,0.90172,0.51619,0.61538,0.56628,0.20609,2.16524,1.51954,2.27346,0.00142976,0.00142976,0.00142976
146,738.676,0.68506,0.47276,0.93971,0.76611,0.53846,0.65577,0.25079,2.21733,1.46789,2.30278,0.0014258,0.0014258,0.0014258
147,743.659,0.6944,0.48436,0.88606,0.62331,0.76404,0.68178,0.23905,2.17748,1.48445,2.23458,0.00142184,0.00142184,0.00142184
148,748.684,0.70855,0.47964,0.91235,0.66486,0.61538,0.5813,0.21744,2.11802,1.75074,2.1863,0.00141788,0.00141788,0.00141788
149,753.683,0.69221,0.45859,0.92272,0.66329,0.60681,0.62008,0.24393,2.07272,1.86103,2.16565,0.00141392,0.00141392,0.00141392
150,758.759,0.68159,0.45308,0.90487,0.6286,0.53846,0.59295,0.23256,2.07073,2.07549,2.07501,0.00140996,0.00140996,0.00140996
151,763.774,0.71621,0.47648,0.90203,0.69793,0.53846,0.61629,0.22682,2.01958,2.11814,1.98457,0.001406,0.001406,0.001406
152,768.91,0.61271,0.45579,0.89537,0.55027,0.66004,0.62095,0.23163,1.82659,1.88241,1.95565,0.00140204,0.00140204,0.00140204
153,773.919,0.67528,0.45173,0.90216,0.62078,0.53846,0.57414,0.23711,1.77985,2.00139,1.95208,0.00139808,0.00139808,0.00139808
154,778.972,0.674,0.47,0.90733,0.56694,0.53846,0.54759,0.23434,1.98019,2.06419,2.09004,0.00139412,0.00139412,0.00139412
155,784.061,0.6909,0.46228,0.91601,0.739,0.46154,0.56898,0.21831,1.96148,1.70805,2.19987,0.00139016,0.00139016,0.00139016
156,789.102,0.68136,0.43917,0.91885,0.61158,0.60624,0.5991,0.27787,1.69549,1.71558,2.07819,0.0013862,0.0013862,0.0013862
157,794.07,0.6651,0.43263,0.89761,0.67091,0.38462,0.54262,0.25319,1.72775,1.79747,2.13318,0.00138224,0.00138224,0.00138224
158,799.07,0.7227,0.46876,0.95461,0.61009,0.61538,0.54604,0.26176,1.83401,1.59684,2.31825,0.00137828,0.00137828,0.00137828
159,804.043,0.61524,0.44406,0.89682,0.60197,0.61538,0.56357,0.23992,1.95905,1.58197,2.35698,0.00137432,0.00137432,0.00137432
