epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,345.262,0.81293,0.66467,0.92987,0.57363,0.38462,0.45745,0.18387,1.91541,2.02217,1.84943,0.00155648,0.00155648,0.00155648
114,348.171,0.82354,0.63819,0.93848,0.44961,0.53846,0.4296,0.18322,1.97371,2.31954,1.81247,0.00155252,0.00155252,0.00155252
115,351.128,0.78385,0.6318,0.94855,0.52157,0.53846,0.46832,0.19327,1.9574,2.63656,1.76711,0.00154856,0.00154856,0.00154856
116,354.128,0.85031,0.61797,0.95712,0.56462,0.46154,0.39375,0.15749,2.16926,2.08143,1.94235,0.0015446,0.0015446,0.0015446
117,356.993,0.86552,0.65966,0.92574,0.492,0.46154,0.37831,0.1804,2.10026,2.03606,1.87079,0.00154064,0.00154064,0.00154064
118,360.07,0.82634,0.63364,0.93475,0.44071,0.48606,0.3625,0.14341,2.1832,2.13066,1.9071,0.00153668,0.00153668,0.00153668
119,363.026,0.77549,0.60678,0.92814,0.53031,0.46154,0.38149,0.17142,2.03223,2.26209,1.75303,0.00153272,0.00153272,0.00153272
120,365.975,0.7776,0.63371,0.93157,0.48212,0.53846,0.48899,0.21361,1.8937,2.08992,1.68984,0.00152876,0.00152876,0.00152876
121,369.014,0.80162,0.60532,0.94108,0.4733,0.62248,0.53644,0.19946,2.20106,1.99317,1.94169,0.0015248,0.0015248,0.0015248
122,372.22,0.749,0.57769,0.91201,0.51809,0.5802,0.51304,0.21479,2.13639,2.10519,1.92751,0.00152084,0.00152084,0.00152084
123,375.213,0.75734,0.59318,0.92521,0.56406,0.46154,0.46157,0.20664,2.15811,1.94706,1.95441,0.00151688,0.00151688,0.00151688
124,378.198,0.85144,0.61711,0.92663,0.52338,0.53846,0.51962,0.20511,2.18121,1.94382,2.14596,0.00151292,0.00151292,0.00151292
125,381.201,0.77589,0.63379,0.92106,0.58383,0.38462,0.41569,0.17641,2.01833,2.32187,2.13864,0.00150896,0.00150896,0.00150896
126,384.198,0.77765,0.65371,0.93862,0.46023,0.46154,0.40992,0.1845,2.0521,2.05447,2.11041,0.001505,0.001505,0.001505
127,387.15,0.79758,0.61238,0.95189,0.57043,0.53846,0.4732,0.19474,2.25111,1.9322,2.13635,0.00150104,0.00150104,0.00150104
128,390.139,0.80369,0.66386,0.91617,0.60952,0.6013,0.57078,0.21541,2.05039,2.01007,2.00879,0.00149708,0.00149708,0.00149708
129,393.178,0.84621,0.63795,0.93707,0.71561,0.61538,0.67436,0.29223,1.94118,1.92039,1.93222,0.00149312,0.00149312,0.00149312
130,396.238,0.84325,0.62049,0.95316,0.77603,0.53846,0.6662,0.34456,1.90773,1.75005,1.85078,0.00148916,0.00148916,0.00148916
131,399.244,0.78155,0.63012,0.94029,0.51706,0.69231,0.6536,0.27593,1.96431,1.85009,1.90029,0.0014852,0.0014852,0.0014852
132,402.378,0.83742,0.61169,0.90613,0.76703,0.46154,0.6267,0.2355,1.97253,2.19937,1.85329,0.00148124,0.00148124,0.00148124
133,405.361,0.84235,0.62374,0.93689,0.44222,0.67163,0.57916,0.1981,1.93245,2.22228,1.81959,0.00147728,0.00147728,0.00147728
134,408.272,0.76607,0.61863,0.92323,0.44639,0.69231,0.5221,0.21064,1.95036,1.90112,1.90616,0.00147332,0.00147332,0.00147332
135,411.243,0.77816,0.65788,0.91444,0.61575,0.53846,0.52619,0.21619,1.99886,1.81414,1.94518,0.00146936,0.00146936,0.00146936
136,414.322,0.75985,0.59091,0.94028,0.61669,0.53846,0.50672,0.22412,1.95364,2.12634,1.99816,0.0014654,0.0014654,0.0014654
137,417.29,0.72872,0.58034,0.89445,0.81442,0.67638,0.64224,0.23059,1.9526,1.96393,1.99853,0.00146144,0.00146144,0.00146144
138,420.22,0.82927,0.63479,0.94493,0.6964,0.53846,0.55347,0.24298,1.92553,1.91884,2.02485,0.00145748,0.00145748,0.00145748
139,423.135,0.74967,0.57097,0.91926,0.65792,0.53846,0.54894,0.23428,1.91711,1.84549,2.02498,0.00145352,0.00145352,0.00145352
